Model,MAE,RMSE,R2,CV_R2_Mean,CV_R2_Std
Linear Regression,8928.678064201229,12900.336989983165,0.7777041918360649,0.7900768108535036,0.01856950940585881
Ridge Regression,8924.620579887776,12902.217057716674,0.7776393932760352,0.7900966209484057,0.018616055228923012
Lasso Regression,8927.755873041682,12901.687425626837,0.7776576485720222,0.7900913259978719,0.01859683969372241
Random Forest,5687.812381051433,9520.221257577437,0.8789337065498447,0.8654016052646074,0.012009580829465733
Gradient Boosting,4209.427245626564,6984.9996675875755,0.9348278659432577,0.9289030191387756,0.009128701376111614
